date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2019-02-20,"KSU Convocation Center , Kennesaw, Georgia",NORTH-ALABAMA,KENNESAW-STATE,Away,58.1,18,3.6,2,87.1,72.5,29,0.57,64,0.484,31,0.125,8,0.375,3,19,200.0,108.6,23.1,6,14,76,5.7,4,0.344,22.0,0.5,11.0,53.0,35,0.56,12.9,10,42.0,0.476,20.0,0.321,9
2019-02-23,"Edmunds Center, DeLand, Florida",NORTH-ALABAMA,STETSON,Home,42.1,8,6.5,2,87.5,88.6,31,0.42,56,0.339,19,0.321,18,0.722,13,20,200.0,83.3,10.8,4,13,60,15.3,11,0.589,33.0,0.273,9.0,48.6,35,0.465,13.5,10,23.0,0.435,10.0,0.31,9
2019-02-26,"Flowers Hall, Florence, Alabama",JACKSONVILLE,NORTH-ALABAMA,Home,47.8,11,4.8,2,78.6,69.2,27,0.431,65,0.354,23,0.246,16,0.813,13,20,200.0,98.6,41.0,16,15,69,12.9,9,0.523,34.0,0.294,10.0,55.1,43,0.475,15.3,13,31.0,0.419,13.0,0.333,10
2019-03-01,"Flowers Hall, Florence, Alabama",LIPSCOMB,NORTH-ALABAMA,Away,47.8,11,4.0,1,113.0,84.6,22,0.419,62,0.371,23,0.468,29,0.793,23,21,200.0,97.4,27.5,11,20,75,10.4,8,0.371,23.0,0.261,6.0,50.0,33,0.495,15.8,14,39.0,0.436,17.0,0.323,10
2019-03-04,"UNF Arena , Jacksonville, Florida",NORTH-ALABAMA,NORTH-FLORIDA,Home,50.0,13,6.7,2,101.3,82.1,32,0.388,76,0.342,26,0.145,11,0.636,7,22,200.0,88.0,35.4,17,19,66,9.3,7,0.329,25.0,0.28,7.0,56.3,49,0.406,12.0,11,51.0,0.373,19.0,0.312,10
2019-11-06,"The Colonial Life Arena, Columbia, South Carolina",NORTH-ALABAMA,SOUTH-CAROLINA,Home,46.7,7,12.5,6,92.8,71.0,22,0.262,61,0.246,15,0.541,33,0.697,23,1,200.0,66.3,32.5,13,30,55,8.4,7,0.344,21.0,0.095,2.0,49.3,35,0.359,19.2,18,40.0,0.325,13.0,0.0,0
2019-11-10,"Flowers Hall, Florence, Alabama",Carver College,NORTH-ALABAMA,Home,55.0,22,13.6,6,80.0,75.9,22,0.592,76,0.526,40,0.158,12,0.417,5,1,200.0,118.8,45.7,16,15,95,18.8,15,0.342,26.0,0.385,10.0,59.4,38,0.581,13.8,13,50.0,0.6,30.0,0.5,1
2019-11-12,"Assembly Hall, Bloomington, Indiana",NORTH-ALABAMA,INDIANA,Home,36.8,7,0.0,0,123.0,70.8,17,0.511,44,0.432,19,0.614,27,0.741,20,2,200.0,87.8,16.7,4,31,65,12.2,9,0.318,14.0,0.5,7.0,43.8,21,0.572,27.3,21,30.0,0.4,12.0,0.333,1
2019-11-16,"Flowers Hall, Florence, Alabama",SAMFORD,NORTH-ALABAMA,Home,70.8,17,7.7,3,82.1,66.7,24,0.456,57,0.421,24,0.298,17,0.529,9,2,200.0,91.0,27.0,10,23,61,14.9,10,0.404,23.0,0.174,4.0,46.6,34,0.469,16.8,13,34.0,0.588,20.0,0.5,2
2019-11-19,"Frost Arena, Brookings, South Dakota",NORTH-ALABAMA,SOUTH-DAKOTA-STATE,Home,44.4,12,6.7,2,109.9,66.7,18,0.533,60,0.45,27,0.2,12,0.75,9,3,200.0,102.8,17.1,6,25,73,5.6,4,0.383,23.0,0.435,10.0,38.7,24,0.556,13.3,10,37.0,0.459,17.0,0.4,2
2019-11-22,"Thomas Assembly Center, Ruston, Louisiana",NORTH-ALABAMA,LOUISIANA-TECH,Home,27.3,6,4.0,2,124.2,70.6,24,0.553,47,0.468,22,0.362,17,0.529,9,4,200.0,92.4,26.7,8,17,61,0.0,0,0.362,17.0,0.471,8.0,50.0,32,0.554,22.7,16,30.0,0.467,14.0,0.333,2
2019-11-27,"Flowers Hall, Florence, Alabama",MISSISSIPPI-VALLEY-STATE,NORTH-ALABAMA,Home,50.0,14,7.7,3,65.8,68.9,31,0.463,68,0.412,28,0.294,20,0.5,10,4,200.0,96.1,31.0,13,17,73,9.2,7,0.382,26.0,0.269,7.0,50.6,44,0.471,13.5,12,42.0,0.5,21.0,0.429,3
2019-11-30,"Flowers Hall, Florence, Alabama",MOREHEAD-STATE,NORTH-ALABAMA,Home,40.9,9,5.1,2,82.6,77.8,28,0.454,54,0.407,22,0.426,23,0.783,18,4,200.0,97.1,26.9,7,9,67,5.8,4,0.352,19.0,0.263,5.0,56.5,35,0.516,14.6,11,35.0,0.486,17.0,0.5,4
2019-12-04,"Trojan Arena, Troy, Alabama",NORTH-ALABAMA,TROY,Home,47.6,10,9.3,4,95.9,66.7,26,0.481,52,0.404,21,0.327,17,0.765,13,5,200.0,85.1,20.0,6,20,63,9.5,7,0.519,27.0,0.296,8.0,46.4,32,0.524,24.2,19,25.0,0.52,13.0,0.444,4
2019-12-08,"Flowers Hall, Florence, Alabama",Birmingham-Southern,NORTH-ALABAMA,Home,64.3,18,5.3,2,74.6,69.7,23,0.576,59,0.475,28,0.22,13,0.769,10,5,200.0,116.4,26.7,8,11,78,11.9,8,0.525,31.0,0.387,12.0,49.2,31,0.598,13.4,10,28.0,0.571,16.0,0.5,5
2019-12-17,"Bartow Arena, Birmingham, Alabama",NORTH-ALABAMA,ALABAMA-BIRMINGHAM,Home,36.8,7,3.0,1,96.9,71.4,20,0.43,50,0.38,19,0.38,19,0.684,13,6,200.0,86.2,23.5,8,14,56,12.3,8,0.32,16.0,0.313,5.0,45.2,28,0.474,19.3,14,34.0,0.412,14.0,0.455,5
2019-12-20,"Elmore Health Science Building , Normal, Alabama",NORTH-ALABAMA,ALABAMA-AM,Home,50.0,14,10.4,5,126.0,78.9,30,0.564,55,0.509,28,0.491,27,0.667,18,7,200.0,109.6,27.6,8,23,80,2.7,2,0.364,20.0,0.3,6.0,56.7,38,0.59,14.1,11,35.0,0.629,22.0,0.417,5
2019-12-28,"Donald L. Tucker Center, Tallahassee, Florida",NORTH-ALABAMA,FLORIDA-STATE,Home,41.7,10,7.0,3,118.9,71.4,20,0.558,52,0.462,24,0.346,18,0.722,13,8,200.0,95.9,23.1,6,17,71,5.4,4,0.385,20.0,0.5,10.0,48.1,26,0.586,23.1,18,32.0,0.438,14.0,0.385,5
2020-01-02,"Flowers Hall, Florence, Alabama",JACKSONVILLE,NORTH-ALABAMA,Home,35.0,7,0.0,0,73.1,79.2,19,0.409,55,0.364,20,0.509,28,0.607,17,8,200.0,79.5,22.2,8,23,62,15.4,12,0.364,20.0,0.25,5.0,45.0,27,0.454,20.2,17,35.0,0.429,15.0,0.429,6
2020-01-04,"Flowers Hall, Florence, Alabama",NORTH-FLORIDA,NORTH-ALABAMA,Away,33.3,7,0.0,0,115.7,82.1,23,0.397,58,0.362,21,0.448,26,0.731,19,9,200.0,92.9,22.2,8,20,65,7.1,5,0.207,12.0,0.333,4.0,48.4,31,0.462,11.5,9,46.0,0.37,17.0,0.4,6
2020-01-09,"Vines Center, Lynchburg, Virginia",NORTH-ALABAMA,LIBERTY,Home,64.7,11,0.0,0,100.0,77.4,24,0.465,43,0.395,17,0.372,16,0.75,12,10,200.0,82.5,8.7,2,14,52,3.2,2,0.442,19.0,0.316,6.0,48.1,26,0.514,23.1,15,24.0,0.458,11.0,0.375,6
2020-01-11,"Allen Arena, Nashville, Tennessee",NORTH-ALABAMA,LIPSCOMB,Away,36.0,9,11.4,4,97.2,73.7,28,0.508,59,0.424,25,0.458,27,0.815,22,10,200.0,115.5,27.3,9,19,82,7.0,5,0.373,22.0,0.455,10.0,52.1,37,0.571,11.3,9,37.0,0.405,15.0,0.412,7
2020-01-16,"Flowers Hall, Florence, Alabama",STETSON,NORTH-ALABAMA,Away,47.6,10,6.9,2,79.4,96.2,25,0.381,59,0.356,21,0.169,10,0.4,4,11,200.0,72.1,28.2,11,19,49,8.8,6,0.407,24.0,0.125,3.0,55.4,36,0.384,19.1,15,35.0,0.514,18.0,0.389,7
2020-01-18,"Flowers Hall, Florence, Alabama",FLORIDA-GULF-COAST,NORTH-ALABAMA,Home,52.4,11,11.4,4,92.9,76.9,20,0.613,40,0.525,21,0.625,25,0.84,21,11,200.0,100.0,11.1,2,15,70,8.6,6,0.35,14.0,0.5,7.0,50.0,22,0.675,26.1,18,26.0,0.538,14.0,0.421,8
2020-01-23,"KSU Convocation Center , Kennesaw, Georgia",NORTH-ALABAMA,KENNESAW-STATE,Away,52.0,13,4.7,2,71.6,86.5,32,0.567,52,0.481,25,0.481,25,0.76,19,11,200.0,96.3,30.0,6,23,78,14.8,12,0.442,23.0,0.391,9.0,66.7,38,0.611,25.9,22,29.0,0.552,16.0,0.45,9
2020-01-30,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",NORTH-ALABAMA,NJIT,Away,52.4,11,4.3,2,101.4,84.8,28,0.532,47,0.447,21,0.766,36,0.778,28,11,200.0,106.8,23.1,6,26,78,2.7,2,0.404,19.0,0.421,8.0,57.6,34,0.608,20.3,16,28.0,0.464,13.0,0.476,10
2020-02-01,"Swisher Gymnasium, Jacksonville, Florida",NORTH-ALABAMA,JACKSONVILLE,Home,34.6,9,11.9,5,110.4,60.5,23,0.516,61,0.426,26,0.41,25,0.8,20,12,200.0,107.8,31.4,11,28,83,11.7,9,0.41,25.0,0.44,11.0,46.6,34,0.569,15.3,13,36.0,0.417,15.0,0.455,10
2020-02-06,"Flowers Hall, Florence, Alabama",LIPSCOMB,NORTH-ALABAMA,Away,50.0,14,7.0,3,97.3,75.0,27,0.47,66,0.424,28,0.258,17,0.529,9,13,200.0,94.7,31.0,13,15,71,10.7,8,0.333,22.0,0.273,6.0,51.3,40,0.479,14.0,12,44.0,0.5,22.0,0.435,10
2020-02-08,"Flowers Hall, Florence, Alabama",LIBERTY,NORTH-ALABAMA,Away,36.8,7,7.7,2,107.2,76.0,19,0.362,58,0.328,19,0.345,20,0.7,14,14,200.0,81.2,25.0,10,20,56,11.6,8,0.379,22.0,0.182,4.0,44.6,29,0.415,16.3,13,36.0,0.417,15.0,0.417,10
2020-02-13,"Edmunds Center, DeLand, Florida",NORTH-ALABAMA,STETSON,Home,65.2,15,2.7,1,108.7,72.4,21,0.576,46,0.5,23,0.413,19,0.579,11,15,200.0,92.8,8.0,2,23,64,8.7,6,0.348,16.0,0.438,7.0,42.6,23,0.582,24.9,18,30.0,0.533,16.0,0.4,10
2020-02-15,"UNF Arena , Jacksonville, Florida",NORTH-ALABAMA,NORTH-FLORIDA,Home,44.4,12,0.0,0,117.6,81.3,26,0.421,70,0.386,27,0.143,10,0.8,8,16,200.0,98.5,37.5,15,17,67,2.9,2,0.286,20.0,0.25,5.0,56.9,41,0.448,10.8,9,50.0,0.44,22.0,0.385,10
2020-02-20,"Flowers Hall, Florence, Alabama",KENNESAW-STATE,NORTH-ALABAMA,Home,43.5,10,6.5,2,71.9,96.7,29,0.531,49,0.469,23,0.551,27,0.481,13,16,200.0,101.6,38.7,12,19,65,9.4,6,0.286,14.0,0.429,6.0,67.2,41,0.526,18.7,14,35.0,0.486,17.0,0.407,11
2020-02-27,"Flowers Hall, Florence, Alabama",NJIT,NORTH-ALABAMA,Home,43.5,10,2.8,1,97.0,80.6,25,0.482,56,0.411,23,0.5,28,0.643,18,16,200.0,107.5,32.4,11,21,72,7.5,5,0.304,17.0,0.471,8.0,55.4,36,0.519,13.9,11,39.0,0.385,15.0,0.429,12
2020-02-29,"Alico Arena, Fort Myers, Florida",NORTH-ALABAMA,FLORIDA-GULF-COAST,Away,34.5,10,7.7,2,100.0,87.0,20,0.552,58,0.5,29,0.328,19,0.737,14,16,225.0,106.8,25.9,7,16,78,11.0,8,0.293,17.0,0.353,6.0,54.0,27,0.582,18.4,15,41.0,0.561,23.0,0.448,13
2020-03-03,"Edmunds Center, DeLand, Florida",NORTH-ALABAMA,STETSON,Home,52.2,12,7.4,2,126.2,70.0,14,0.509,54,0.426,23,0.37,20,0.85,17,17,200.0,110.8,35.7,10,20,72,12.3,8,0.426,23.0,0.391,9.0,50.0,24,0.567,17.2,13,31.0,0.452,14.0,0.433,13
